sample	libtype	replicate	reseq	batch	fq1	fq2
TONG_1	hic	1	4	1	fq/hic/PM30_L3_end1.fastq.gz	fq/hic/PM30_L3_end2.fastq.gz
TONG_1	hic	1	5	1	fq/hic/PM108.end1.fastq.gz	fq/hic/PM108.end2.fastq.gz
FOCUS_1	rnaseq	1	1	1	fq/rnaseq/CM10_end1.fastq.gz	fq/rnaseq/CM10_end2.fastq.gz
FOCUS_1	rnaseq	2	1	2	fq/rnaseq/CM22_end1.fastq.gz	fq/rnaseq/CM22_end2.fastq.gz
FOCUS_1	rnaseq	3	1	3	fq/rnaseq/CM34_end1.fastq.gz	fq/rnaseq/CM34_end2.fastq.gz
HA59T_1	rnaseq	1	1	1	fq/rnaseq/CM5_end1.fastq.gz	fq/rnaseq/CM5_end2.fastq.gz
HA59T_1	rnaseq	2	1	2	fq/rnaseq/CM17_end1.fastq.gz	fq/rnaseq/CM17_end2.fastq.gz
HA59T_1	rnaseq	3	1	3	fq/rnaseq/CM29_end1.fastq.gz	fq/rnaseq/CM29_end2.fastq.gz
HCC36_1	rnaseq	1	1	1	fq/rnaseq/CM11_end1.fastq.gz	fq/rnaseq/CM11_end2.fastq.gz
HCC36_1	rnaseq	2	1	2	fq/rnaseq/CM23_end1.fastq.gz	fq/rnaseq/CM23_end2.fastq.gz
HCC36_1	rnaseq	3	1	3	fq/rnaseq/CM35_end1.fastq.gz	fq/rnaseq/CM35_end2.fastq.gz
HEP3B_1	rnaseq	1	1	1	fq/rnaseq/CM8_end1.fastq.gz	fq/rnaseq/CM8_end2.fastq.gz
HEP3B_1	rnaseq	2	1	3	fq/rnaseq/CM32_end1.fastq.gz	fq/rnaseq/CM32_end2.fastq.gz
HEP3B_1	rnaseq	3	1	3	fq/rnaseq/CM39_end1.fastq.gz	fq/rnaseq/CM39_end2.fastq.gz
HEPARG_1	rnaseq	1	1	1	fq/rnaseq/CM14_end1.fastq.gz	fq/rnaseq/CM14_end2.fastq.gz
HEPARG_1	rnaseq	2	1	2	fq/rnaseq/CM26_end1.fastq.gz	fq/rnaseq/CM26_end2.fastq.gz
HEPARG_1	rnaseq	3	1	3	fq/rnaseq/CM38_end1.fastq.gz	fq/rnaseq/CM38_end2.fastq.gz
HUH2_1	rnaseq	1	1	1	fq/rnaseq/CM6_end1.fastq.gz	fq/rnaseq/CM6_end2.fastq.gz
HUH2_1	rnaseq	2	1	2	fq/rnaseq/CM18_end1.fastq.gz	fq/rnaseq/CM18_end2.fastq.gz
HUH2_1	rnaseq	3	1	3	fq/rnaseq/CM30_end1.fastq.gz	fq/rnaseq/CM30_end2.fastq.gz
LI21_1	rnaseq	1	1	1	fq/rnaseq/CM9_end1.fastq.gz	fq/rnaseq/CM9_end2.fastq.gz
LI21_1	rnaseq	2	1	2	fq/rnaseq/CM21_end1.fastq.gz	fq/rnaseq/CM21_end2.fastq.gz
LI21_1	rnaseq	3	1	3	fq/rnaseq/CM33_end1.fastq.gz	fq/rnaseq/CM33_end2.fastq.gz
PLC_1	rnaseq	1	1	1	fq/rnaseq/CM3_end1.fastq.gz	fq/rnaseq/CM3_end2.fastq.gz
PLC_1	rnaseq	2	1	2	fq/rnaseq/CM15_end1.fastq.gz	fq/rnaseq/CM15_end2.fastq.gz
PLC_1	rnaseq	3	1	3	fq/rnaseq/CM27_end1.fastq.gz	fq/rnaseq/CM27_end2.fastq.gz
SNU354_1	rnaseq	1	1	1	fq/rnaseq/CM12_end1.fastq.gz	fq/rnaseq/CM12_end2.fastq.gz
SNU354_1	rnaseq	2	1	2	fq/rnaseq/CM24_end1.fastq.gz	fq/rnaseq/CM24_end2.fastq.gz
SNU354_1	rnaseq	3	1	3	fq/rnaseq/CM36_end1.fastq.gz	fq/rnaseq/CM36_end2.fastq.gz
SNU387_1	rnaseq	1	1	1	fq/rnaseq/CM4_end1.fastq.gz	fq/rnaseq/CM4_end2.fastq.gz
SNU387_1	rnaseq	2	1	2	fq/rnaseq/CM16_end1.fastq.gz	fq/rnaseq/CM16_end2.fastq.gz
SNU387_1	rnaseq	3	1	3	fq/rnaseq/CM28_end1.fastq.gz	fq/rnaseq/CM28_end2.fastq.gz
TONG_1	rnaseq	1	1	1	fq/rnaseq/CM7_end1.fastq.gz	fq/rnaseq/CM7_end2.fastq.gz
TONG_1	rnaseq	2	1	2	fq/rnaseq/CM19_end1.fastq.gz	fq/rnaseq/CM19_end2.fastq.gz
TONG_1	rnaseq	3	1	3	fq/rnaseq/CM31_end1.fastq.gz	fq/rnaseq/CM31_end2.fastq.gz
#PHH_NI_1	rnaseq	1	1	0	fq/rnaseq/PHH_NI_1_end1.fastq.gz	fq/rnaseq/PHH_NI_1_end2.fastq.gz
#PHH_NI_4	rnaseq	1	1	0	fq/rnaseq/PHH_NI_4_end1.fastq.gz	fq/rnaseq/PHH_NI_4_end2.fastq.gz
#PHH_WT_1	rnaseq	1	1	0	fq/rnaseq/PHH_WT_1_end1.fastq.gz	fq/rnaseq/PHH_WT_1_end2.fastq.gz
#PHH_WT_3	rnaseq	1	1	0	fq/rnaseq/PHH_WT_2_end1.fastq.gz	fq/rnaseq/PHH_WT_2_end2.fastq.gz
#PHH_WT_6	rnaseq	1	1	0	fq/rnaseq/PHH_WT_6_end1.fastq.gz	fq/rnaseq/PHH_WT_6_end2.fastq.gz
#SRR8615968	rnaseq	1	1	0	fq/rnaseq/SRR8615968_end1.fastq.gz	fq/rnaseq/SRR8615968_end2.fastq.gz
#SRX4093200	rnaseq	1	1	0	fq/rnaseq/SRX4093200_end1.fastq.gz	fq/rnaseq/SRX4093200_end2.fastq.gz
